CLASSIFICATION,TYPE,CONTRACT/ PERMIT/ PATENT/ APPLICATION NUMBER,CONTRACTOR/ PERMIT HOLDER/ PERMITTEE/ APPLICANT,PROPONENT,CONTACT NUMBER,OPERATOR,AREA (HAS.),DATE FILED,APPROVAL DATE,RENEWAL DATE,EXPIRATION DATE,BARANGAY,MUNICIPALITY/CITY,PROVINCE,"GOOGLE MAP LINK
(LOCATION POINT)",COMMODITY,STATUS,SOURCE OF RAW MATERIALS (FOR MPP ONLY)
Mining Rights,Certificate of Accreditation,CA-2025-004-IV,Sojitz Philippines Corporation,"Mr. Ryosuke Gokyu
President
Sojitz Philippines Corporation
23rd Floor, NAC Tower Building
32nd Street Fort Bonifacio Global City
Taguig City, Metro Manila",--,N/A,N/A,--,"May 30, 2025",--,"May 30, 2027",--,--,--,--,Nickel Ore,Operating,N/A
Mining Rights,Government Seabed Quarry Permit,OMR001-2008-IVA-Amended,Philippine Reclamation Authority,"Atty. Janilo E. Rubiato
General Manager and CEO
Philippine Reclamation Authority
7th Floor, Legaspi Towers 200 Building
107 Paseo de Roxas Street, Legaspi Village
1226 Makati City", -- ,N/A,"  9,966.77 ",--,"August 11, 2008",--,--, -- ,"Manila Bay, Ternate, Naic, Tanza and Rozario",NCR and Cavite,https://maps.app.goo.gl/daSJUJWGJcYqbqTJA,Marine aggregates,Non-operational,N/A
Mining Rights,Government Seabed Quarry Permit,OMR002-2019-IV-Amended,"San Miguel Aerocity, Inc.","Mr. Ricardo L. Yabut
President
San Miguel Aerocity, Inc.
Address: 155 EDSA, Wack-Wack
1550 Mandaluyong City", 02 302-8304 ,N/A,"  8,214.45 ",--,"March 12, 2020",--,--, -- ,"Rosario, Tanza, Naic and Ternate",Cavite,https://maps.app.goo.gl/vn2YgU2RxZ2G6Don7,Marine aggregates,Non-operational,N/A
Mining Rights,Government Seabed Quarry Permit,OMR003-2021-IV,Avalar Mining Corporation,"Mr. Noel S. Sanchez
Avalar Mining Corporation
One Esplanade Seaside Boulevard corner J. W. Diokno Blvd.
Mall of Asia Complex CBP 1-A, Pasay City 1300", -- ,N/A,"  4,810.00 ",--,"March 26, 2021",--,--, -- ,"Cavite City, Noveleta and Rosario",Cavite, -- ,Marine aggregates,Non-operational,N/A
Mining Rights,Government Seabed Quarry Permit,OMR004-2021-IV,"Silverquest Mining Resources, Inc.","Ms. Ellen T. Balunsat
President
Silverquest Mining Resources, Inc.
Unit 103A ZEN building, 8325 Mayapis Street
San Antonito Village, 1203 Makati City", -- ,N/A,"  2,124.36 ",--,"April 19, 2021",--,--, -- ,Naic and Ternate,Cavite, -- ,Marine aggregates,Non-operational,N/A
Mining Rights,Government Seabed Quarry Permit,OMR006-2022-IV,"Seabed Resources, Inc.","Mr. Earl Justine B. Legaspi
President
Seabed Resources, Inc.
116 Aguirre St., Legaspi Village
San Lorenzo, Makati City", -- ,N/A,"  4,999.00 ",--,"February 17, 2022",--,--, -- ,Naic and Ternate,Cavite, -- ,Marine aggregates,Non-operational,N/A
Mining Applications,Application for Financial and Technical Assistance Agreement,AFTA-IVA-007,Royal Cement & Mining Corp.,"Ms. Nora Averia
Royal Cement & Mining Corp. 
7064 Wilson St., Pio del Pilar, Makati City",302-13-60,N/A,"9,720.00","January 06, 1996",N/A,N/A,N/A,--,"Macalelon, Gen. Luna & Catanauan",Quezon,--,"gold, silver, etc.",Under Evaluation,N/A
Mining Applications,Application for Financial and Technical Assistance Agreement,AFTA-IVA-008,Eagle Star Mining Corporation,"Mr Manny C. Teng
Eagle Star Mining Corporation
153 EDSA, Barangay Wack-Wack, Mandaluyong City 1555",--,N/A,"72,750.00","January 30, 1996",N/A,N/A,N/A,--,Buenavista & San Narcisco,Quezon,--,"gold, silver, etc.",Under Evaluation,N/A
Mining Applications,Application for Financial and Technical Assistance Agreement,AFTA-IVA-011,Looc Mining Corporation,"Ms. Lydia T. Ragasa 
President
Looc Mining Corporation 
SDK Center, #153 EDSA, Makati City",723-6076 Local 09,N/A,"38,866.42","May 15, 1996",N/A,N/A,N/A,--,"Sto. Tomas, Tanauan & Malvar/Indang, Amadeo, Silang & Mendez-Nunez/Alaminos","Batangas, Cavite and Laguna",--,"gold, silver, etc.",Under Evaluation,N/A
Mining Applications,Application for Financial and Technical Assistance Agreement,AFTA-IVA-012,Pinatubo Cement & Mining Corp.,"Ms. Wanda Michelle Buencamino 
President
Pinatubo Cement & Mining Corp. 
153 EDSA, Barangay Wack-Wack, Mandaluyong",--,N/A,"7,695.00","May 15, 1996",N/A,N/A,N/A,--,San Juan & Lobo,Batangas,--,"gold, silver, etc.",Under Evaluation,N/A
Mining Applications,Application for Mineral Production Sharing Agreement,AMA-IVA-139,Ms. Elizabeth Santos,"Ms. Elizabeth Santos
Brgy. Sto. Nino, Marikina City",--,N/A,567,"September 15, 1997",N/A,N/A,N/A,--,Rodriguez,Rizal,--,"basalt, andesite, etc.",Under Evaluation,N/A
Mining Applications,Application for Mineral Production Sharing Agreement,AMA-IVA-196,Blue Rock Aggregates Corp.,"Mr. Francis Lloyd T. Chua 
President
Blue Rock Aggregates Corp. 
Sitio Lukutan Malaki, Brgy. San Isidro
Rodriquez, Rizal 1860",--,N/A,100,"April 19, 2000",N/A,N/A,N/A,San Isidro,Rodriguez,Rizal,--,"basalt, andesite, etc.",Under Evaluation,N/A
Mining Applications,Application for Mineral Production Sharing Agreement,AMA-IVA-217,Pinatubo Cement and Mining Corp.,Pinatubo Cement and Mining Corp.,--,N/A,"1,759.03","August 22, 2002",N/A,N/A,N/A,--,Lobo,Batangas,--,"basalt, andesite, etc.",Under Evaluation,N/A
Mining Applications,Application for Mineral Production Sharing Agreement,PMPSA-IV-025,Guanzon Lime Development Corp.,"Ms. Lourdes A. Guanzon
Guanzon Lime Development Corp.
No. 478 Rizal Avenue Ext., Caloocan City",--,N/A,128.0065,"February 06, 1992",N/A,N/A,N/A,Lawigue,Tayabas,Quezon,--,Limestone,Under Evaluation,N/A
Mining Applications,Application for Mineral Production Sharing Agreement,PMPSA-IV-141,Conrock Development Corporation,"Mr. Conradao V. Ignacio
President
Conrock Development Corporation
Bo. Guinayang, San Mateo, Rizal 1850",--,N/A,15.6252,"September 22, 1994",N/A,N/A,N/A,Malanday,San Mateo,Rizal,--,Aggregates,Under Evaluation,N/A
Mining Applications,Application for Mineral Production Sharing Agreement,PMPSA-IV-180,Monterock Corp.,"Mr. Angelito F. Ignacio
President
Monterock Corp.
Dulong Bayan, San Mateo, Rizal",--,N/A,106.0447,"February 24, 1995",N/A,N/A,N/A,Guitnang Bayan II,San Mateo,Rizal,--,Aggregates,Under Evaluation,N/A
Mining Applications,Application for Mineral Production Sharing Agreement,PMPSA-IV-201,Diamante Cement and Mining Corp.,"Mr. Philip Jasa
President
Diamante Cement and Mining Corp.
7064 Wilson St., Pio del Pilar, Makati City",--,N/A,"2,291.86","April 21, 1995",N/A,N/A,N/A,--,Sampaloc/Mauban,Quezon,--,Limestone,Under Evaluation,N/A
Mining Applications,Application for Mineral Production Sharing Agreement,PMPSA-IV-221,Carlosa Mining Corporation,"Ms. Guadelyn Deang
President
Carlosa Mining Corporation
153 EDSA, Barangay Wack-Wack, Mandaluyong City 1555",--,N/A,"1,828.10","July 13, 1995",N/A,N/A,N/A,--,Batangas City,Batangas,--,Limestone,Under Evaluation,N/A
Mining Applications,Application for Mineral Production Sharing Agreement,AMA-IVA-001,Talibayog Mining Corp.,"Mr. Ricardo Yabut 
President
Talibayog Mining Corp.
153 EDSA, Barangay Wack-Wack
Mandaluyong City 1555",--,N/A,"4,628.30","September 02, 1995",N/A,N/A,N/A,--,Padre Burgos & Atimonan,Quezon,--,"limestone, shale, etc.",Denied with appeal,N/A
Mining Applications,Application for Mineral Production Sharing Agreement,AMA-IVA-025,Diamante Cement and Mining Corporation,"Mr. Philip Jasa, 
President
Diamante Cement and Mining Corporation
7064 Wilson St., Pio del Pilar
Makati City 1230",--,N/A,"1,625.23","December 15, 1995",N/A,N/A,N/A,--,Mauban,Quezon,--,"limestone, shale, etc.",Denied with appeal,N/A
Mining Applications,Application for Mineral Production Sharing Agreement,AMA-IVA-035,New Sea and Land Realty and Development Corporation,New Sea and Land Realty and Development Corporation,--,N/A,251.813,"February 12, 1996",N/A,N/A,N/A,--,Balayan,Batangas,--,Aggregates,Denied with appeal,N/A
Mining Applications,Application for Mineral Production Sharing Agreement,AMA-IVA-045,Kalmazoo Mining Corp.,Kalmazoo Mining Corp.,--,N/A,"2,875.00","April 24, 1996",N/A,N/A,N/A,--,Gen. Nakar,Quezon,--,"granite, etc.",Denied with appeal,N/A
Mining Applications,Application for Mineral Production Sharing Agreement,AMA-IVA-166,City Group Phils. Corp.,"Ms. Marina B. Paringit
President
City Group Phils. Corp.
32 Payna Street, Veterans Village, Project 7, Quezon City",--,N/A,868.683,"December 18, 1997",N/A,N/A,N/A,--,Jala-Jala,Rizal,--,volcanic rock,Denied with appeal,N/A
Mining Applications,Application for Mineral Production Sharing Agreement,AMA-IVA-235,Concrete Aggregates Corporation,"Mr. Jose Emmanuel H. Jalandoni
Chairman and President
Concrete Aggregates Corporation
7th Floor West Wing, Estancia Offices Capitol Commons
Meralco Avenue, Pasig City 1605",8631-1231,N/A,72.43,"March 31, 2009",N/A,N/A,N/A,--,Angono,Rizal,--,"basalt, aggregates",Denied with appeal,N/A
Mining Applications,Application for Mineral Production Sharing Agreement,PMPSA-IV-133,San Rafael Development Corporation,"Mr. Salim G. Massab, 
President
San Rafael Development Corporation
No. 11 Seattle St., Quezon City 1109",--,N/A,24.1818,"September 05, 1994",N/A,N/A,N/A,--,Rodriguez,Rizal,--,"basalt, etc.",Denied with appeal,N/A
Mining Applications,Application for Exploration Permit,EPA-IVA-20,Gem Aggregates Corp.,"Ms. Angelita I. Lee
President
Gem Aggregates Corp.
167 Sumulong Highway
Mayamot, Antipolo City 1870","645-3915
645-3694
645-5450
645-5166",N/A,"1,011.90","July 19, 1995",N/A,N/A,N/A,--,Baras,Rizal,--,"Andesite/
Basalt",Under Evaluation,N/A
Mining Applications,Application for Exploration Permit,EPA-IVA-29,Rizal Silica Corporation,"Ms. Angelita I. Lee
President
Rizal Silica Corporation 
167 Sumulong Highway
Mayamot, Antipolo City 1870","645-3915
645-3694
645-5450
645-5166",N/A,"4,779.00","October 25, 1996",N/A,N/A,N/A,--,Burdeous,Quezon,--,Limestone,Under Evaluation,N/A
Mining Applications,Application for Exploration Permit,EPA-IVA-41,"Nikimiko Exploration, Inc.","Ms. Angelita I. Lee
President
Nikimiko Exploration, Inc. 
167 Sumulong Highway
Mayamot, Antipolo City 1870","645-3915
645-3694
645-5450
645-5166",N/A,"13,284.00","January 28, 1997",N/A,N/A,N/A,--,Mauban,Quezon,--,"gold, copper, etc.",Under Evaluation,N/A
Mining Applications,Application for Exploration Permit,EPA-IVA-58,Silver Mountain Exploration Corp.,"Ms. Angelita I. Lee
President
Silver Mountain Exploration Corp. 
167 Sumulong Highway
Mayamot, Antipolo City 1870","645-3915
645-3694
645-5450
645-5166",N/A,"6,804.15","September 16, 1997",N/A,N/A,N/A,--,Tagkawayan,Quezon,--,"silver, gold, etc.",Under Evaluation,N/A
Mining Applications,Application for Exploration Permit,EPA-IVA-61,Silver Mountain Exploration Corp.,"Ms. Angelita I. Lee
President
Silver Mountain Exploration Corp.
167 Sumulong Highway
Mayamot, Antipolo City 1870","645-3915
645-3694
645-5450
645-5166",N/A,996,"September 29, 1997",N/A,N/A,N/A,--,Baras/Tanay,Rizal,--,"limestone, silica",Under Evaluation,N/A
Mining Applications,Application for Exploration Permit,EPA-IVA-67,Richgate Realty and Dev't. Corp.,"Ms. Angelita I. Lee
President
Richgate Realty and Dev't. Corp.
167 Sumulong Highway
Mayamot, Antipolo City 1870","645-3915
645-3694
645-5450
645-5166",N/A,346.7,"February 09, 1998",N/A,N/A,N/A,--,Pililla,Rizal,--,"basalt, andesite, etc.",Under Evaluation,N/A
Mining Applications,Application for Exploration Permit,EPA-IVA-68,Silver Mountain Exploration Corp.,"Ms. Angelita I. Lee
President
Silver Mountain Exploration Corp.
167 Sumulong Highway
Mayamot, Antipolo City 1870","645-3915
645-3694
645-5450
645-5166",N/A,"5,061.66","March 27, 1998",N/A,N/A,N/A,--,Tagkawayan,Quezon,--,"gold, copper, etc.",Under Evaluation,N/A
Mining Applications,Application for Exploration Permit,EPA-IVA-69,Rapid City Realty and Dev't. Corp.,"Ms. Angelita I. Lee
Vice-President
Rapid City Realty and Dev't. Corp. 
167 Sumulong Highway
Mayamot, Antipolo City 1870","645-3915
645-3694
645-5450
645-5166",N/A,"7,968.00","April 01, 1998",N/A,N/A,N/A,--,Gen. Nakar,Quezon,--,"gold, copper, etc.",Under Evaluation,N/A
Mining Applications,Application for Exploration Permit,EPA-IVA-92,Silver Mountain Exploration Corp.,"Ms. Angelita I. Lee
President
Silver Mountain Exploration Corp.
167 Sumulong Highway
Mayamot, Antipolo City 1870","645-3915
645-3694
645-5450
645-5166",N/A,"4,979.76","November 02, 2004",N/A,N/A,N/A,--,Tagkawayan,Quezon,--,"gold, copper, etc.",Under Evaluation,N/A
Mining Applications,Application for Exploration Permit,EPA-IVA-104,George Roald Firmalino,"George Roald Firmalino
Lot 10 Block 19, San Francisco St.
Metrocor Homes, 1740 Las Piñas City",--,N/A,"1,458.00","July 28, 2006",N/A,N/A,N/A,--,Tagkawayan,Quezon,--,"gold, silver, etc.",Under Evaluation,N/A
Mining Applications,Application for Exploration Permit,EPA-IVA-109,Rizal Silica Corporation,"Ms. Angelita I. Lee
President
Rizal Silica Corporation 
167 Sumulong Highway
Mayamot, Antipolo City 1870","645-3915
645-3694
645-5450
645-5166",N/A,"2,260.24","November 20, 2006",N/A,N/A,N/A,--,Antipolo City,Rizal,--,"iron, manganese, etc.",Under Evaluation,N/A
Mining Applications,Application for Exploration Permit,EPA-IVA-112,Silver Mountain Exploration Corp.,"Ms. Angelita I. Lee
President
Silver Mountain Exploration Corp.
167 Sumulong Highway
Mayamot, Antipolo City 1870","645-3915
645-3694
645-5450
645-5166",N/A,920.68,"September 14, 2007",N/A,N/A,N/A,--,Antipolo City/San Mateo,Rizal,--,"basalt, andesite, oether metallic and non-metallic minerals",Under Evaluation,N/A
Mining Applications,Application for Exploration Permit,EPA-IVA-114,Silver Mountain Exploration Corp.,"Ms. Angelita I. Lee
President
Silver Mountain Exploration Corp.
167 Sumulong Highway
Mayamot, Antipolo City 1870","645-3915
645-3694
645-5450
645-5166",N/A,"4,223.14","November 05, 2007",N/A,N/A,N/A,--,Tagkawayan,Quezon,--,"gold, copper, etc.",Under Evaluation,N/A
Mining Applications,Application for Exploration Permit,EPA-IVA-127A,Robust Cement & Mining Corp.,"Mr. Benjamin O. Fallaria
President 
Robust Cement & Mining Corp. 
Unit 3064 Cityland Pasong Tamo Tower
2010 Chino Roces Avenue 
1630 Makati City",--,N/A,"1,536.43","June 21, 2010",N/A,N/A,N/A,--,Rosario & Tanza,Cavite,--,back fill materials,Under Evaluation,N/A
Mining Applications,Application for Exploration Permit,EPA-IVA-130,"Explosives Consultation and Applications (ECA) Phils., Inc.","Mr. Bartolo Monforte
President
Explosives Consultation and Applications Phils., Inc.
Rm. 401 ECA Bldg., 623 Maharlika cor. Sikap Sts.
Brgy. Plainview, Mandaluyong City",--,N/A,"1,366.88","September 09, 2010",N/A,N/A,N/A,--,Cardona & Binangonan,Rizal,--,"basalt, andesite & other filling materials",Under Evaluation,N/A
Mining Applications,Application for Exploration Permit,EPA-IVA-135,Core Fire Mining Corp.,"Core Fire Mining Corp.
Mr. Manuel M. Balangue 
(Consultant) LD Global Legacy, Inc.
Unit 28 & 30, 2nd Floor, Facilities Center
No. 548 Shaw Blvd., 1552 Mandaluyong City",962-1317,N/A,165.5599,"March 20, 2013",N/A,N/A,N/A,--,Rodriguez,Rizal,--,"basalt, andesite, copper, gold, silver, etc.",Under Evaluation,N/A
Mining Applications,Application for Exploration Permit,EPA-IVA-136,Rapid City Realty & Development Corp.,"Ms. Angelita I. Lee
 Vice-President
 Rapid City Realty and Dev't. Corp. 
 167 Sumulong Highway,Mayamot, Antipolo City 1870","645-3915
645-3694
645-5450
645-5166",N/A,648,"June 18, 2013",N/A,N/A,N/A,--,Morong & Teresa,Rizal,--,"silica, pozzolan, etc.",Under Evaluation,N/A
Mining Applications,Application for Exploration Permit,EPA-IVA-137,Eagle Star Mining Corporation,"Mr Manny C. Teng
President
Eagle Star Mining Corporation
153 EDSA, Barangay Wack-Wack, Mandaluyong City 1555",--,N/A,830.3598,"September 26, 2013",N/A,N/A,N/A,--,Pagbilao,Quezon,--,"limestone, shale, pozzolan, silica, etc.",Under Evaluation,N/A
Mining Applications,Application for Exploration Permit,EPA-IVA-138,Eagle Star Mining Corporation,"Mr Manny C. Teng
President
Eagle Star Mining Corporation
153 EDSA, Barangay Wack-Wack, Mandaluyong City 1555",--,N/A,"2,987.88","March 21, 2018",N/A,N/A,N/A,--,Pagbilao,Quezon,--,"limestone, pozzolan, shale, other cement materials",Under Evaluation,N/A
Mining Applications,Application for Exploration Permit,EPA-IVA-139,Avalar Mining Corporation,"Anthony L. Almeda
President
Avalar Mining Corporation 
One Esplanade, Seaside Blvd.cor J.W. Diokno Blvd
Mall of Asia Complex CBP-4, Pasay City",--,N/A,"2,153.45","June 07, 2018",N/A,N/A,N/A,--,Rosario and Noveleta,Cavite,--,Marine aggregates and other related materials for cement manufacturer,Under Evaluation,N/A
Mining Applications,Application for Exploration Permit,EPA-IVA-141,"VIL Mines, Inc.","Mr. Ricardo L. Yabut
President
VIL Mines, Inc. 
155 EDSA, Barangay Wack-Wack, Mandaluyong City",02 302-8304,N/A,"4,805.39","July 24, 2018",N/A,N/A,N/A,--,"Noveleta, Rosario, Tanza, Naic, Ternate, Maragondon and Nasugbu",Cavite,--,Marine sand aggregates and other related materials,Under Evaluation,N/A
Mining Applications,Application for Exploration Permit,EPA-IVA-142,Kepha Mining Exploration Limited Company,"Mr. Angelino Ancheta
General Manager
Kepha Mining Exploration Limited Company 
21B Mahiyain St., Sikatuna Village, Quezon City 1101",3983406; 09062999978,N/A,"1,458.00","August 14, 2018",N/A,N/A,N/A,--,Nagcarlan,Laguna,--,"basalt, etc.",Under Evaluation,N/A
Mining Applications,Application for Exploration Permit,EPA-IVA-146,Top Quality Corporation,"Manuel A. Chua
President
Top Quality Corporation
1423 The Mondrian Bldg. P. Ocampo St.,
San Antonio Village, Makati City",02-5768546; 09175025687,N/A,"1,160.80","July 24, 2019",N/A,N/A,N/A,--,Maragondon,Cavite,--,"Basalt, Rock Aggregates, Silica, Gold Copper and other metallic and non-metallic",Under Evaluation,N/A
Mining Applications,Application for Exploration Permit,EPA-IVA-147,MYED-NIKKEL Resources Corp.,"Mr. Francisco T. Laurel Jr. , 
President
MYED-NIKKEL Resources Corp.
1051 North Bay Blvd., Navotas City, Metro, Manila",--,N/A,"5,139.96","July 31, 2019",N/A,N/A,N/A,--,Maragondon and Cavite City,Cavite,--,sea sand,Under Evaluation,N/A
Mining Applications,Application for Exploration Permit,EPA-IVA-148,Progressive Development Corporation,"Jorge L. Araneta President
Progressive Development Corporation
25-26 Floors Gateway Tower, Araneta Center, Quezon City",--,N/A,81,"October 17, 2019",N/A,N/A,N/A,--,Rodriquez,Rizal,--,"Limestone, shale, basalt and other minerals resources, etc.",Under Evaluation,N/A
Mining Applications,Application for Exploration Permit,EPA-IVA-149,"Republic Cement and Building Materials, Inc.","Mr.Renato C. Sunico 
President
Republic Cement and Building Materials, Inc.
Menarco Tower, 32nd Street, Bonifacio Global City, Taguig City",--,N/A,12.0529,"December 17, 2019",N/A,N/A,N/A,--,Teresa,Rizal,--,"Limestone, Shale and other Siliceous Materials",Under Evaluation,N/A
Mining Applications,Application for Exploration Permit,EPA-IVA-151,Avalar Mining Corporation,"Anthony L. Almeda
President
Avalar Mining Corporation
One Esplanade, Seaside Blvd.cor J.W. Diokno Blvd.
Mall of Asia Complex CBP-4, Pasay City",--,N/A,"3,561.06","January 24, 2020",N/A,N/A,N/A,--,Coastal areas along the Municipality of Ternate and Cavity City,Cavite,--,Marine aggregates and other related materials,Under Evaluation,N/A
Mining Applications,Application for Exploration Permit,EPA-IVA-152,Avalar Mining Corporation,"Anthony L. Almeda
President
Avalar Mining Corporation
One Esplanade, Seaside Blvd.cor J.W. Diokno Blvd.
Mall of Asia Complex CBP-4, Pasay City",--,N/A,"5,133.43","January 24, 2020",N/A,N/A,N/A,--,Offshore areas within Cavite City,Cavite,--,Marine aggregates and other related materials,Under Evaluation,N/A
Mining Applications,Application for Exploration Permit,EPA-IVA-154,Avalar Mining Corporation,"Anthony L. Almeda
President
Avalar Mining Corporation
One Esplanade, Seaside Blvd.cor J.W. Diokno Blvd.
Mall of Asia Complex CBP-4, Pasay City",--,N/A,"7,698.34","July 13, 2021",N/A,N/A,N/A,--,"Offshore areas within Paombong, Malolos and Bulacan, Manila and Navotas City, Metro Manila: Cavite City, Province of Cavite",Bulacan and Cavite,--,Marine aggregates and other related materials,Under Evaluation,N/A
Mining Applications,Application for Exploration Permit,EPA-IVA-157,JPM Resource Development Corporation,"Mr. Leonardo V. Provido
President
JPM Resource Development Corporation
Room 310, Medecor Ortigas, Greenhills, San Juan City 1502",9178835192,N/A,496.4509,"September 17, 2021",N/A,N/A,N/A,--,Rodriguez,Rizal,--,"Basalt, Andesite",Under Evaluation,N/A
Mining Applications,Application for Exploration Permit,EPA-IVA-158,Silver Mountain Exploration Corp.,"Ms. Roxanne S. Go
President
Silver Mountain Exploration Corp. 
Lot 15 Block 9, Phase I-A, Parkehills Executive Village Marcos Highway
Barnagy Inarawan, Antipolo City 1870",--,N/A,22.4265,"October 21, 2004",N/A,N/A,N/A,--,Antipolo City,Rizal,--,"Basalt, Andesite",Under Evaluation,N/A
Mining Applications,Application for Exploration Permit,EPA-IVA-160,TCSC Corp.,"Mr. Dionisio V. Toreja
President
TCSC Corp.
National Highway, Poblacion, San Pascual, Batangas 4204 and TCSC Corp.
Barangay Talaibon, Ibaan, Batangas Province",6342 312 1828,N/A,"2,006.53","November 05, 2021",N/A,N/A,N/A,--,"San Juan/
 Sariaya","Batangas and
 Quezon",--,"Alluvial Deposits, Magnetite sand and other associated minerals",Under Evaluation,N/A
Mining Applications,Application for Exploration Permit,EPA-IVA-161,TCSC Corp.,"Mr. Dionisio V. Toreja
President
TCSC Corp.
National Highway, Poblacion, San Pascual, Batangas 4204 and TCSC Corp.
Barangay Talaibon, Ibaan, Batangas Province",6342 312 1828,N/A,"2,249.53","November 05, 2021",N/A,N/A,N/A,--,"Balayan, Calaca and Lemery",Batangas,--,"Alluvial Deposits, Magnetite sand and other associated minerals",Under Evaluation,N/A
Mining Applications,Application for Exploration Permit,EPA-IVA-162,TCSC Corp.,"Mr. Dionisio V. Toreja
President
TCSC Corp.
National Highway, Poblacion, San Pascual, Batangas 4204 and TCSC Corp.
Barangay Talaibon, Ibaan, Batangas Province",6342 312 1828,N/A,"2,413.53","November 05, 2021",N/A,N/A,N/A,--,Batangas City and Lobo,Batangas,--,"Alluvial Deposits, Magnetite sand and other associated minerals",Under Evaluation,N/A
Mining Applications,Application for Exploration Permit,EPA-IVA-163,TCSC Corp.,"Mr. Dionisio V. Toreja
President
TCSC Corp.
National Highway, Poblacion, San Pascual, Batangas 4204 and TCSC Corp.
Barangay Talaibon, Ibaan, Batangas Province",6342 312 1828,N/A,967.8791,"November 05, 2021",N/A,N/A,N/A,--,"Bauan, San Pascual and Batangas City",Batangas,--,"Alluvial Deposits, Magnetite sand and other associated minerals",Under Evaluation,N/A
Mining Applications,Application for Exploration Permit,EPA-IVA-165,Island Quarry & Aggregates Corporation,"Mr. Paul Vincent Arcenas
President
Island Quarry & Aggregates Corporation
Sitio Tagbak, Barangay San Jose, Antipolo City 1870",--,N/A,462.7121,"January 17, 1992",N/A,N/A,N/A,--,Antipolo,Rizal,--,"limestone, diorite",Under Evaluation,N/A
Mining Applications,Application for Exploration Permit,EPA-IVA-166,United Asia International Marble Corp.,"Ms. Dalyn L. Dizon
President/Gen. Manager
United Asia International Marble Corp.
Dizon Bldg. 283-A Visayas Avenue
Brgy. Bahay Toro, Quezon City 1106",--,N/A,"1,169.60","April 29, 1992",N/A,N/A,N/A,--,Pagbilao,Quezon,--,"marbleized limestone, etc.",Under Evaluation,N/A
Mining Applications,Application for Exploration Permit,EPA-IVA-167,United Asia International Marble Corp.,"Ms. Dalyn L. Dizon
President/Gen. Manager
United Asia International Marble Corp.
Dizon Bldg. 283-A Visayas Avenue
Brgy. Bahay Toro, Quezon City 1107",--,N/A,"1,169.60","April 29, 1992",N/A,N/A,N/A,--,Pagbilao/Padre Burgos,Quezon,--,"marbleized limestone, etc.",Under Evaluation,N/A
Mining Applications,Application for Exploration Permit,EPA-IVA-168,Island Quarry & Aggregates Corporation,"Mr. Paul Vincent Arcenas
President
Island Quarry & Aggregates Corporation 
Sitio Tagbak, Barangay San Jose, Antipolo City 1870",--,N/A,248.2218,"November 27, 1997",N/A,N/A,N/A,--,Binangonan,Rizal,--,"limestone, shale",Under Evaluation,N/A
Mining Applications,Application for Exploration Permit,EPA-IVA-169,Island Quarry & Aggregates Corporation,"Mr. Paul Vincent Arcenas
President
Island Quarry & Aggregates Corporation 
Sitio Tagbak, Barangay San Jose, Antipolo City 1870",--,N/A,63.7237,"May 14, 1996",N/A,N/A,N/A,--,Antipolo,Rizal,--,"limestone, shale",Under Evaluation,N/A
Mining Applications,Application for Exploration Permit,EPA-IVA-170,Teresa Marble Corp.,"Ms. Annie G. Dee
President
Teresa Marble Corp.
117 Shaw Boulevard, Pasig City 1552",--,N/A,33.8669,"March 03, 1995",N/A,N/A,N/A,--,San Mateo,Rizal,--,"limestone, etc.",Under Evaluation,N/A
Mining Applications,Application for Exploration Permit,EPA-IVA-171,Talibayog Mining Corp.,"Mr. Ricardo Yabut
President
Talibayog Mining Corp. 
153 EDSA, Barangay Wack-Wack
Mandaluyong City 1555",--,N/A,935.9488,"October 05, 1995",N/A,N/A,N/A,--,Mabini,Batangas,--,"limestone, shale",Under Evaluation,N/A
Mining Applications,Application for Exploration Permit,EPA-IVA-172,Diamante Cement and Mining Corp.,"Mr. Philip Jasa
President
Diamante Cement and Mining Corp. 
153 Epifanio Delos Santos Avenue
Barangay Wack-Wack, Mandaluyong City 1555",723-60-76,N/A,747.7023,"July 19, 1998",N/A,N/A,N/A,--,Batangas City,Batangas,--,"limestone, shale",Under Evaluation,N/A
Mining Applications,Application for Exploration Permit,EPA-IVA-173,Carlosa Mining Corporation,"Mr. Guadelyn C. Deang
President
Carlosa Mining Corporation 
153 EDSA, Barangay Wack-Wack
Mandaluyong City 1555",--,N/A,912.6948,"November 25, 2002",N/A,N/A,N/A,--,Tabangao,Batangas,--,"limestone, shale, etc.",Under Evaluation,N/A
Mining Applications,Application for Exploration Permit,EPA-IVA-174,Eagle Star Mining Corporation,"Mr. Manny C. Teng 
President
Eagle Star Mining Corporation
153 EDSA, Barangay Wack-Wack
Mandaluyong City 1555",--,N/A,95.9985,"March 09, 1994",N/A,N/A,N/A,--,Pagbilao,Quezon,--,limestone,Under Evaluation,N/A
Mining Applications,Application for Exploration Permit,EPA-IVA-175,Eagle Star Mining Corp.,"Mr. Manny C. Teng 
President
Eagle Star Mining Corporation
153 EDSA, Barangay Wack-Wack
Mandaluyong City 1555",--,N/A,"1,299.74","February 17, 1995",N/A,N/A,N/A,--,Tayabas,Quezon,--,"limestone, marble, etc.",Under Evaluation,N/A
